slug	title	url	type	topics	difficulty
attention-is-all-you-need	Attention Is All You Need	https://arxiv.org/abs/1706.03762	paper	transformer,llm,ai-research	advanced
scaling-laws-for-neural-language-models	Scaling Laws for Neural Language Models	https://arxiv.org/abs/2001.08361	paper	pre-training,ai-research	advanced
chinchilla-compute-optimal-training	Training Compute-Optimal Large Language Models	https://arxiv.org/abs/2203.15556	paper	pre-training,ai-research	advanced
instructgpt-training-with-human-feedback	Training Language Models to Follow Instructions with Human Feedback	https://arxiv.org/abs/2203.02155	paper	rlhf,alignment	advanced
direct-preference-optimization	Direct Preference Optimization	https://arxiv.org/abs/2305.18290	paper	alignment,rlhf	advanced
constitutional-ai	Constitutional AI: Harmlessness from AI Feedback	https://arxiv.org/abs/2212.08073	paper	alignment,ai-safety	advanced
chain-of-thought-prompting	Chain-of-Thought Prompting Elicits Reasoning in LLMs	https://arxiv.org/abs/2201.11903	paper	reasoning,prompting	intermediate
self-consistency-improves-reasoning	Self-Consistency Improves Chain of Thought Reasoning	https://arxiv.org/abs/2203.11171	paper	reasoning,prompting	intermediate
deepseek-r1-reasoning-via-rl	DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via RL	https://arxiv.org/abs/2501.12948	paper	reasoning,rlhf,llm	advanced
llama-3-herd-of-models	The Llama 3 Herd of Models	https://arxiv.org/abs/2407.21783	paper	llm,pre-training	advanced
mixtral-of-experts	Mixtral of Experts	https://arxiv.org/abs/2401.04088	paper	moe,llm	advanced
lora-low-rank-adaptation	LoRA: Low-Rank Adaptation of Large Language Models	https://arxiv.org/abs/2106.09685	paper	fine-tuning	intermediate
qlora-efficient-finetuning	QLoRA: Efficient Finetuning of Quantized LLMs	https://arxiv.org/abs/2305.14314	paper	fine-tuning,quantization	advanced
retrieval-augmented-generation-paper	Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks	https://arxiv.org/abs/2005.11401	paper	rag,embeddings	intermediate
lost-in-the-middle	Lost in the Middle: How Language Models Use Long Contexts	https://arxiv.org/abs/2307.03172	paper	long-context,rag	intermediate
flashattention	FlashAttention: Fast and Memory-Efficient Exact Attention	https://arxiv.org/abs/2205.14135	paper	gpu-kernels,inference	advanced
vllm-paged-attention	Efficient Memory Management for LLM Serving with PagedAttention	https://arxiv.org/abs/2309.06180	paper	serving,inference	advanced
react-synergizing-reasoning-and-acting	ReAct: Synergizing Reasoning and Acting in Language Models	https://arxiv.org/abs/2210.03629	paper	agents,tool-use,reasoning	intermediate
toolformer	Toolformer: Language Models Can Teach Themselves to Use Tools	https://arxiv.org/abs/2302.04761	paper	tool-use,agents	advanced
swe-bench	SWE-bench: Can Language Models Resolve Real-World GitHub Issues?	https://arxiv.org/abs/2310.06770	paper	swe-benchmarks,benchmarks,coding-agents	intermediate
clip-transferable-visual-models	Learning Transferable Visual Models From Natural Language Supervision	https://arxiv.org/abs/2103.00020	paper	vision-language,multimodal	advanced
latent-diffusion-models	High-Resolution Image Synthesis with Latent Diffusion Models	https://arxiv.org/abs/2112.10752	paper	diffusion,computer-vision	advanced
whisper-robust-speech-recognition	Robust Speech Recognition via Large-Scale Weak Supervision	https://arxiv.org/abs/2212.04356	paper	speech,multimodal	intermediate
